date,location,start_time,end_time,fish_ID,species,total_length,phase,observor,turf_bites,sargassum_bites,turbinaria_bites,dictyota_bites,amansia_bites
7/21/2017,Cory's Site,15:30,15:50,1,Naso lituratus ,12,No mask,DC,83,0,0,0,0
7/21/2017,Cory's Site,15:55,16:15,2,Naso lituratus ,15,Mask,DC,110,28,6,16,0
7/10/2017,Cory's Site,16:20,16:40,3,Naso lituratus ,12,Term with mask,DC,60,2,1,12,0
8/13/2017,Cory's Site NW corner ,16:00,16:20,4,Naso lituratus,14,Mask,DC,89,13,1,3,2
8/13/2017,Cory's Site NW corner ,15:35,15:55,5,Naso lituratus,12,Mask,DC,40,22,2,8,0
8/13/2017,Cory's Site,15:41,16:01,6,Naso lituratus,12,No Mask,TT,83,7,4,0,0
8/18/2017,Cory's Site NW corner ,16:10,16:30,7,Naso lituratus,12,Mask,DC,133,0,15,15,5
8/20/2017,152,15:26,15:46,8,Naso lituratus,12,No mask,TT,23,1,8,0,0
8/25/2017,Cory's Site Hilton,15:35,15:55,9,Naso lituratus,11,No Mask,DC,57,11,10,0,12
8/25/2017,Cory's Site Hilton,15:55,16:15,10,Naso lituratus,12,No Mask,DC,132,5,14,0,16
8/25/2017,Cory's Site Hilton,16:01,16:21,11,Naso lituratus,12,Mask,TT,102,0,0,9,0
8/27/2017,Cory's Site Hilton,15:35,15:55,12,Naso lituratus,11,No Mask,DC,66,7,32,0,18
8/27/2017,Cory's Site Hilton,15:58,16:18,13,Naso lituratus,13,No Mask,DC,150,2,2,2,16
8/27/2017,Cory's Site Hilton,15:54,16:14,14,Naso lituratus,13,Mask,TT,39,0,2,6,0
8/27/2017,Cory's Site Hilton,15:16,15:36,15,Naso lituratus,12,No Mask,TT,47,2,1,3,0
9/1/2017,Cory's Site Hilton,15:48,16:08,16,Naso lituratus,13,No Mask,TT,26,1,5,14,0
9/1/2017,Cory's Site Hilton,14:39,14:59,17,Naso lituratus,12,,TT,139,11,35,8,0
9/1/2017,Hilton NW Corner,15:05,15:20,18,Naso lituratus,11,No mask,DC,68,8,40,7,0
9/1/2017,Hilton NW Corner,15:32,15:52,19,Naso lituratus,12,No Mask,DC,148,7,9,13,0
7/24/2017,Cory's Site,16:14,16:34,20,Siganus spinus,16,,DC,29,21,0,28,0
7/24/2017,Cory's Site,16:36,16:56,21,Siganus spinus,17,,DC,70,61,11,54,8
7/21/2017,Cory's Site,16:35,16:49,22,Siganus spinus,13,,DC,6,0,5,0,0
7/17/2017,Cory's Site,16:12,16:32,23,Siganus spinus,17,,DC,14,4,2,12,0
8/13/2017,Cory's Site; NW Corner,15:10,15:30,24,Siganus spinus,13,,DC,10,34,4,12,0
8/13/2017,Cory's Site,15:15,15:35,25,Siganus spinus,15,,TT,16,4,2,0,0
8/18/2017,150 fringe,12:20,12:40,26,Siganus spinus,18,,TT,4,0,1,12,0
8/18/2017,150 fringe,12:30,12:50,27,Siganus spinus,10,,DC,39,1,18,6,0
8/18/2017,150 fringe,12:02,12:22,28,Siganus spinus,13,,DC,25,0,13,28,0
8/23/2017,152,11:34,11:54,29,Siganus spinus,11,,DC,32,67,8,2,34
8/23/2017,152,11:10,11:30,30,Siganus spinus,11,,DC,41,45,23,19,37
8/23/2017,152,10:42,11:02,31,Siganus spinus,12,,DC,78,16,34,0,7
8/23/2017,152,11:31,11:51,32,Siganus spinus,14,,TT,2,0,1,0,0
8/23/2017,152,10:25,10:45,33,Siganus spinus,15,,TT,23,4,0,0,0
8/23/2017,152,10:57,11:17,34,Siganus spinus,13,,TT,3,7,9,0,0
8/20/2017,152,14:57,15:17,35,Siganus spinus,11,,TT,13,13,15,0,0
9/1/2017,Hilton NW Corner,10:39,10:59,36,Siganus spinus,15,,TT,1,12,10,0,0
9/1/2017,Hilton NW Corner,10:17,10:37,37,Siganus spinus,14,,TT,0,1,2,1,0
9/1/2017,Hilton NW Corner,10:47,11:07,38,Siganus spinus,10,,DC,0,80,38,0,0
9/1/2017,Hilton NW Corner,10:15,10:35,39,Siganus spinus,12,,DC,5,13,3,0,0
