date,location,start_time,end_time,fish_ID,species,observor,turf_bites,sargassum_bites,turbinaria_bites,dictyota_bites,amansia_bites
7/21/2017,Hilton NW Corner,15:30,15:50,1,Naso lituratus ,DC,83,0,0,0,0
7/21/2017,Hilton NW Corner,15:55,16:15,2,Naso lituratus ,DC,110,28,6,16,0
7/10/2017,Hilton NW Corner,16:20,16:40,3,Naso lituratus ,DC,60,2,1,12,0
8/13/2017,Hilton NW Corner,16:00,16:20,4,Naso lituratus,DC,89,13,1,3,2
8/13/2017,Hilton NW Corner,15:35,15:55,5,Naso lituratus,DC,40,22,2,8,0
8/13/2017,Hilton NW Corner,15:41,16:01,6,Naso lituratus,TT,83,7,4,0,0
8/18/2017,Hilton NW Corner,16:10,16:30,7,Naso lituratus,DC,133,0,15,15,5
8/20/2017,Hilton NW Corner,15:26,15:46,8,Naso lituratus,TT,23,1,8,0,0
8/25/2017,Hilton NW Corner,15:35,15:55,9,Naso lituratus,DC,57,11,10,0,12
8/25/2017,Hilton NW Corner,15:55,16:15,10,Naso lituratus,DC,132,5,14,0,16
8/25/2017,Hilton NW Corner,16:01,16:21,11,Naso lituratus,TT,102,0,0,9,0
8/27/2017,Hilton NW Corner,15:35,15:55,12,Naso lituratus,DC,66,7,32,0,18
8/27/2017,Hilton NW Corner,15:58,16:18,13,Naso lituratus,DC,150,2,2,2,16
8/27/2017,Hilton NW Corner,15:54,16:14,14,Naso lituratus,TT,39,0,2,6,0
8/27/2017,Hilton NW Corner,15:16,15:36,15,Naso lituratus,TT,47,2,1,3,0
9/1/2017,Hilton NW Corner,15:48,16:08,16,Naso lituratus,TT,26,1,5,14,0
9/1/2017,Hilton NW Corner,14:39,14:59,17,Naso lituratus,TT,139,11,35,8,0
9/1/2017,Hilton NW Corner,15:05,15:20,18,Naso lituratus,DC,68,8,40,7,0
9/1/2017,Hilton NW Corner,15:32,15:52,19,Naso lituratus,DC,148,7,9,13,0
