Updated_Name,Trophic_Level,Functional_Group
Acanthurus/Ctenochaetus,Herbivore,Non-browsing herbivore
Ctenochaetus/Acanthurus,Herbivore,Non-browsing herbivore
Acanthururs/Ctenocahetus,Herbivore,Non-browsing herbivore
Acanthurus/Ctenocahetus,Herbivore,Non-browsing herbivore
Acanthurus blochii,Herbivore,Non-browsing herbivore
Acanthurus lineatus,Herbivore,Non-browsing herbivore
Acanthurus nigricauda,Herbivore,Non-browsing herbivore
Acanthurus olivaceus,Herbivore,Non-browsing herbivore
Acanthurus,Herbivore,Non-browsing herbivore
Acanthusus,Herbivore,Non-browsing herbivore
Albula,Carnivore,Carnivore
Balistapus undulatus,Carnivore,Carnivore
Balistoides,Carnivore,Carnivore
Scarus/Calotomus,Herbivore,Browsing herbivore
Calotomus/Scarus,Herbivore,Browsing herbivore
Calotomus carolinus,Herbivore,Browsing herbivore
Calotomus,Herbivore,Browsing herbivore
Cantherhines,Other,Other
Carangidae,Carnivore,Carnivore
Carangoides,Carnivore,Carnivore
Caranx sexfaciatus,Carnivore,Carnivore
Caranx,Carnivore,Carnivore
Cephalopholis,Carnivore,Carnivore
Cephalopholus,Carnivore,Carnivore
Chanos,Planktivore,Planktivore
Cheilinus chlorourus,Carnivore,Carnivore
Cheilinus,Carnivore,Carnivore
Cheilinus undulatus,Carnivore,Carnivore
Cheilopogon,Planktivore,Planktivore
Scarus/Chlorurus,Herbivore,Non-browsing herbivore
Chlorurus/Scarus,Herbivore,Non-browsing herbivore
Chlorurus sordidus/Scarus psittacus,Herbivore,Non-browsing herbivore
Scarus psittacus/Chlorurus sordidus,Herbivore,Non-browsing herbivore
Chlorurus frontalis,Herbivore,Non-browsing herbivore
Chlorurus microrhinos,Herbivore,Non-browsing herbivore
Chlorurus sordidus,Herbivore,Non-browsing herbivore
Chlorurus spilurus,Herbivore,Non-browsing herbivore
Chlorurus spilulrus,Herbivore,Non-browsing herbivore
Chlorurus,Herbivore,Non-browsing herbivore
Coryphaena,Carnivore,Carnivore
Crenimugil,Planktivore,Planktivore
Ctenochaetus,Herbivore,Non-browsing herbivore
Cypselurus,Planktivore,Planktivore
Epibulus insidiator,Carnivore,Carnivore
Epibulus,Carnivore,Carnivore
Epinephelus,Carnivore,Carnivore
Gnathodentex,Carnivore,Carnivore
Heteropriacanthus,Carnivore,Carnivore
Katsuwonus,Carnivore,Carnivore
Kyphosus,Herbivore,Browsing herbivore
Labridae,Unknown,Unknown
Lethrinidae,Carnivore,Carnivore
Lethrinus,Carnivore,Carnivore
Liza,Planktivore,Planktivore
Lutjanus,Carnivore,Carnivore
Lutajanus,Carnivore,Carnivore
Lutajnus,Carnivore,Carnivore
Lujanus,Carnivore,Carnivore
Monotaxis,Carnivore,Carnivore
Mugilidae,Planktivore,Planktivore
Mulloidichthys/Parupeneus,Carnivore,Carnivore
Mulloidichthys,Carnivore,Carnivore
Myripristis,Carnivore,Carnivore
Myripritis,Carnivore,Carnivore
Mrypristis,Carnivore,Carnivore
Myriprisits,Carnivore,Carnivore
Naso lituratus,Herbivore,Browsing herbivore
Naso,Herbivore,Browsing herbivore
Naso unicornis,Herbivore,Browsing herbivore
Naso vlamingii,Planktivore,Planktivore
Parupeneus,Carnivore,Carnivore
Priacanthus,Carnivore,Carnivore
Pseudobalistes,Other,Other
Sarda,Carnivore,Carnivore
Sargocentron,Carnivore,Carnivore
Sasrgocentron,Carnivore,Carnivore
Scarus forsteni,Herbivore,Non-browsing herbivore
Scarus frenatus,Herbivore,Non-browsing herbivore
Scarus globiceps,Herbivore,Non-browsing herbivore
Scarus niger,Herbivore,Non-browsing herbivore
Scarus oviceps,Herbivore,Non-browsing herbivore
Scarus psittacus,Herbivore,Non-browsing herbivore
Scarus rubroviolaceus,Herbivore,Non-browsing herbivore
Scarus schlegeli,Herbivore,Non-browsing herbivore
Scarus,Herbivore,Non-browsing herbivore
Scombridae,Carnivore,Carnivore
Selar crumenophthalmus,Planktivore,Planktivore
Selar,Planktivore,Planktivore
Siganus,Herbivore,Browsing herbivore
Siganus spinus,Herbivore,Browsing herbivore
Sphyraena,Carnivore,Carnivore
Thunnus,Carnivore,Carnivore
Tylosurus,Carnivore,Carnivore
